campaign_family,ad_group_theme,include_now,review_high_priority,review_broad_test,future_test,exclude_negative,total
Diagnostics & VOR,AdBlue / DPF / NOx,196,2,67,6,13,284
Diagnostics & VOR,Limp Mode / Derate,140,1,56,1,5,203
Diagnostics & VOR,Pre-Purchase Van Check,5,3,23,0,2,33
Diagnostics & VOR,Standard Diagnosis,174,46,218,8,58,504
Diagnostics & VOR,VOR / Urgent Van Diagnostics,64,2,20,0,0,86
Mercedes Van Servicing,Mercedes Van Servicing,236,46,73,2,30,387
Mercedes Van Servicing,Sprinter Brakes,95,9,4,0,3,111
Mercedes Van Servicing,Sprinter Servicing,56,17,13,5,20,111
Mercedes Van Servicing,Vito Brakes,68,1,8,0,2,79
Mercedes Van Servicing,Vito Servicing,27,10,0,0,12,49
Van Tuning,Fleet Van Tuning,26,4,0,0,0,30
Van Tuning,Mobile Van Remap,24,5,4,0,0,33
Van Tuning,Sprinter Remap,47,8,3,0,0,58
Van Tuning,Van Economy Tune,299,44,106,8,22,479
Van Tuning,Van Load & Driveability Tune,94,3,0,0,0,97
Van Tuning,Vito Remap,31,6,2,0,0,39
