campaign_family,ad_group_theme,keyword_candidate,recommended_match_type,notes
Diagnostics & VOR,Standard Diagnosis,auto diagnostic near me prices,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,auto diagnostic near me prices auckland,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Best auto diagnostics near me,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Best mercedes diagnostics near me,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Best van diagnostics near me,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Best vehicle diagnostics near me,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Car dashboard symbols and meanings,phrase,Does not meet include or broad-test gates; review.
Diagnostics & VOR,Standard Diagnosis,car diagnostics near me prices,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Car not starting but battery is fine,phrase,Does not meet include or broad-test gates; review.
Diagnostics & VOR,Standard Diagnosis,Cheap auto diagnostics near me,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Cheap van diagnostics near me,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Cheap vehicle diagnostics near me,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,cheapest vehicle diagnostics near me,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,check engine light dodge van,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Contact Us,phrase,Does not meet include or broad-test gates; review.
Diagnostics & VOR,AdBlue / DPF / NOx,How do I unblock my DPF filter without removing it?,phrase,Does not meet include or broad-test gates; review.
Diagnostics & VOR,Standard Diagnosis,how long does diagnostics on a car take,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Mercedes diagnostic check cost,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostic cost near me,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Mercedes diagnostic cost UK,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostic near celbridge county kildare prices,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near east kilbride glasgow,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me prices,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,mercedes mobile diagnostics near me prices,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Mobile mercedes diagnostics cost,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Mobile mercedes diagnostics prices,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Mobile Mercedes mechanic reviews,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Mobile Mercedes Mechanic Reviews 116,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes specialist bristol,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Mobile mercedes specialist cost,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes specialist manchester,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes specialist near me prices,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes specialist northampton cost,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Mobile phone Hardware Repair Technician book PDF,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Pre-Purchase Van Check,Pre purchase van check cost,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Pre-Purchase Van Check,Pre purchase van check cost uk,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Pre-Purchase Van Check,pre purchase vehicle inspection checklist pdf,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Resetting countdown after fixing problem,phrase,Does not meet include or broad-test gates; review.
Diagnostics & VOR,Standard Diagnosis,Same day van diagnostics prices,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,VOR / Urgent Van Diagnostics,Urgent van diagnostics cost,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,VOR / Urgent Van Diagnostics,Urgent van diagnostics prices,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Van diagnostics near me prices,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Vehicle dashboard lights and fault Indicators,phrase,Does not meet include or broad-test gates; review.
Diagnostics & VOR,Standard Diagnosis,vehicle diagnostics near manchester,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,vehicle diagnostics near me price list,phrase,Elevated risk with partial commercial fit; manual review.
