campaign_family,ad_group_theme,keyword_candidate,recommended_match_type,notes
Diagnostics & VOR,Standard Diagnosis,check engine light diagnostics near me,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Standard Diagnosis,Fault Diagnosis | Mobile Mercedes Mechanic | UK,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Standard Diagnosis,Mercedes and Smart Diagnostics,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Standard Diagnosis,Mercedes approved service near me,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes benz diagnostics near me,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Standard Diagnosis,Mercedes Benz Star Diagnostics Programming & Coding,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostic,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostic adblue,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostic adblue kent,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostic adblue local,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostic adblue near me,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostic centre near me,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostic check near me,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostic dpf,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostic dpf kent,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostic dpf local,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostic dpf near me,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostic kent,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Limp Mode / Derate,mercedes diagnostic limp mode,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Limp Mode / Derate,mercedes diagnostic limp mode kent,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Limp Mode / Derate,mercedes diagnostic limp mode local,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Limp Mode / Derate,mercedes diagnostic limp mode near me,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostic local,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostic near me,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostic nox,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostic nox kent,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostic nox local,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostic nox near me,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Limp Mode / Derate,mercedes diagnostic reduced power,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Limp Mode / Derate,mercedes diagnostic reduced power kent,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Limp Mode / Derate,mercedes diagnostic reduced power local,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Limp Mode / Derate,mercedes diagnostic reduced power near me,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostic service near me,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostic test near me,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,VOR / Urgent Van Diagnostics,mercedes diagnostic wont start,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,VOR / Urgent Van Diagnostics,mercedes diagnostic wont start kent,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,VOR / Urgent Van Diagnostics,mercedes diagnostic wont start local,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,VOR / Urgent Van Diagnostics,mercedes diagnostic wont start near me,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostics adblue,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostics adblue kent,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostics adblue local,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostics adblue near me,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostics dpf,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostics dpf kent,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostics dpf local,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostics dpf near me,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Standard Diagnosis,Mercedes diagnostics in Kent,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics kent,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Limp Mode / Derate,mercedes diagnostics limp mode,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Limp Mode / Derate,mercedes diagnostics limp mode kent,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Limp Mode / Derate,mercedes diagnostics limp mode local,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Limp Mode / Derate,mercedes diagnostics limp mode near me,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics local,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostics nox,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostics nox kent,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostics nox local,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,AdBlue / DPF / NOx,mercedes diagnostics nox near me,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Limp Mode / Derate,mercedes diagnostics reduced power,phrase,High fit; query-shaped; low risk.
Diagnostics & VOR,Limp Mode / Derate,mercedes diagnostics reduced power kent,phrase,High fit; query-shaped; low risk.
