campaign_family,ad_group_theme,keyword_candidate,recommended_match_type,notes
Diagnostics & VOR,Standard Diagnosis,Best mercedes diagnostics near me,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Best van diagnostics near me,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Cheap van diagnostics near me,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,cheap vehicle diagnostics near me,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,cheapest vehicle diagnostics near me,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Compare Instant Mercedes Diagnostics Deals Near You,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Contact Us,phrase,Does not meet include or broad-test gates; review.
Diagnostics & VOR,Standard Diagnosis,Mercedes diagnostic check cost,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostic cost near me,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Mercedes diagnostic cost UK,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,MMD,phrase,Does not meet include or broad-test gates; review.
Diagnostics & VOR,Standard Diagnosis,Mobile Diagnostics near me - D&E Auto Repairs to You,phrase,Good scores but failed query-shape gate for include.
Diagnostics & VOR,Standard Diagnosis,Mobile mercedes diagnostics cost,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Mobile mercedes diagnostics prices,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Mobile Mercedes mechanic reviews,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Mobile Mercedes Mechanic Reviews 116,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,Van diagnostics near me prices,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,vehicle diagnostics near me prices,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,what causes mercedes check engine light,phrase,Elevated risk with partial commercial fit; manual review.
Diagnostics & VOR,Standard Diagnosis,XENTRY Remote Diagnosis,phrase,Does not meet include or broad-test gates; review.
Mercedes Van Servicing,Sprinter Servicing,dodge sprinter service near me,phrase,Elevated risk with partial commercial fit; manual review.
Mercedes Van Servicing,Sprinter Servicing,freightliner sprinter service near me,phrase,Elevated risk with partial commercial fit; manual review.
Mercedes Van Servicing,Mercedes Van Servicing,Mercedes Ashford,phrase,Does not meet include or broad-test gates; review.
Mercedes Van Servicing,Mercedes Van Servicing,Mercedes service prices UK,phrase,Elevated risk with partial commercial fit; manual review.
Mercedes Van Servicing,Sprinter Servicing,Mercedes Sprinter service B cost,phrase,Elevated risk with partial commercial fit; manual review.
Mercedes Van Servicing,Sprinter Servicing,Mercedes sprinter service cost,phrase,Elevated risk with partial commercial fit; manual review.
Mercedes Van Servicing,Sprinter Servicing,Mercedes sprinter service cost uk,phrase,Elevated risk with partial commercial fit; manual review.
Mercedes Van Servicing,Sprinter Servicing,Mercedes-Benz Sprinter Full Service Cost | ClickMechanic,phrase,Elevated risk with partial commercial fit; manual review.
Mercedes Van Servicing,Sprinter Servicing,sprinter limo service near me,phrase,Elevated risk with partial commercial fit; manual review.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter mobile care reviews,phrase,Elevated risk with partial commercial fit; manual review.
Mercedes Van Servicing,Sprinter Servicing,Sprinter service near me prices,phrase,Elevated risk with partial commercial fit; manual review.
Van Tuning,Van Economy Tune,Best fuel economy remap van,phrase,Elevated risk with partial commercial fit; manual review.
Van Tuning,Van Economy Tune,Best van economy tune,phrase,Elevated risk with partial commercial fit; manual review.
Van Tuning,Van Economy Tune,Does a tune improve fuel economy?,phrase,PAA / related question; review or use as negative/FAQ only.
Van Tuning,Van Economy Tune,Fuel economy remap van cost,phrase,Elevated risk with partial commercial fit; manual review.
Van Tuning,Van Economy Tune,Fuel Economy Tune in Derby,phrase,Elevated risk with partial commercial fit; manual review.
