seed_keyword,campaign_family,total_candidates,include_count,review_count,negative_count
mercedes diagnostic,Diagnostics & VOR,1,1,0,0
mercedes diagnostic adblue,Diagnostics & VOR,1,1,0,0
mercedes diagnostic adblue kent,Diagnostics & VOR,1,1,0,0
mercedes diagnostic adblue local,Diagnostics & VOR,1,1,0,0
mercedes diagnostic adblue near me,Diagnostics & VOR,1,1,0,0
mercedes diagnostic dpf,Diagnostics & VOR,1,1,0,0
mercedes diagnostic dpf kent,Diagnostics & VOR,1,1,0,0
mercedes diagnostic dpf local,Diagnostics & VOR,1,1,0,0
mercedes diagnostic dpf near me,Diagnostics & VOR,1,1,0,0
mercedes diagnostic kent,Diagnostics & VOR,1,1,0,0
mercedes diagnostic limp mode,Diagnostics & VOR,1,1,0,0
mercedes diagnostic limp mode kent,Diagnostics & VOR,1,1,0,0
mercedes diagnostic limp mode local,Diagnostics & VOR,1,1,0,0
mercedes diagnostic limp mode near me,Diagnostics & VOR,1,1,0,0
mercedes diagnostic local,Diagnostics & VOR,1,1,0,0
mercedes diagnostic near me,Diagnostics & VOR,1,1,0,0
mercedes diagnostic nox,Diagnostics & VOR,1,1,0,0
mercedes diagnostic nox kent,Diagnostics & VOR,1,1,0,0
mercedes diagnostic nox local,Diagnostics & VOR,1,1,0,0
mercedes diagnostic nox near me,Diagnostics & VOR,1,1,0,0
mercedes diagnostic reduced power,Diagnostics & VOR,1,1,0,0
mercedes diagnostic reduced power kent,Diagnostics & VOR,1,1,0,0
mercedes diagnostic reduced power local,Diagnostics & VOR,1,1,0,0
mercedes diagnostic reduced power near me,Diagnostics & VOR,1,1,0,0
mercedes diagnostic wont start,Diagnostics & VOR,1,1,0,0
mercedes diagnostic wont start kent,Diagnostics & VOR,1,1,0,0
mercedes diagnostic wont start local,Diagnostics & VOR,1,1,0,0
mercedes diagnostic wont start near me,Diagnostics & VOR,1,1,0,0
mercedes diagnostics,Diagnostics & VOR,1,1,0,0
mercedes diagnostics adblue,Diagnostics & VOR,1,1,0,0
mercedes diagnostics adblue kent,Diagnostics & VOR,1,1,0,0
mercedes diagnostics adblue local,Diagnostics & VOR,1,1,0,0
mercedes diagnostics adblue near me,Diagnostics & VOR,1,1,0,0
mercedes diagnostics dpf,Diagnostics & VOR,1,1,0,0
mercedes diagnostics dpf kent,Diagnostics & VOR,1,1,0,0
mercedes diagnostics dpf local,Diagnostics & VOR,1,1,0,0
mercedes diagnostics dpf near me,Diagnostics & VOR,1,1,0,0
mercedes diagnostics kent,Diagnostics & VOR,1,1,0,0
mercedes diagnostics limp mode,Diagnostics & VOR,1,1,0,0
mercedes diagnostics limp mode kent,Diagnostics & VOR,1,1,0,0
mercedes diagnostics limp mode local,Diagnostics & VOR,1,1,0,0
mercedes diagnostics limp mode near me,Diagnostics & VOR,1,1,0,0
mercedes diagnostics local,Diagnostics & VOR,1,1,0,0
mercedes diagnostics near me,Diagnostics & VOR,28,14,11,3
mercedes diagnostics nox,Diagnostics & VOR,1,1,0,0
mercedes diagnostics nox kent,Diagnostics & VOR,1,1,0,0
mercedes diagnostics nox local,Diagnostics & VOR,1,1,0,0
mercedes diagnostics nox near me,Diagnostics & VOR,1,1,0,0
mercedes diagnostics reduced power,Diagnostics & VOR,1,1,0,0
mercedes diagnostics reduced power kent,Diagnostics & VOR,1,1,0,0
mercedes diagnostics reduced power local,Diagnostics & VOR,1,1,0,0
mercedes diagnostics reduced power near me,Diagnostics & VOR,1,1,0,0
mercedes diagnostics wont start,Diagnostics & VOR,1,1,0,0
mercedes diagnostics wont start kent,Diagnostics & VOR,1,1,0,0
mercedes diagnostics wont start local,Diagnostics & VOR,1,1,0,0
mercedes diagnostics wont start near me,Diagnostics & VOR,1,1,0,0
mercedes engine check,Diagnostics & VOR,1,1,0,0
mercedes engine check adblue,Diagnostics & VOR,1,1,0,0
