Campaign,Ad Group,Keyword,Match Type
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""check engine light diagnostics near me""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""mercedes benz diagnostics near me""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""mercedes diagnostic check near me""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""mercedes diagnostic service near me""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""mercedes diagnostics near me""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,[mercedes mobile diagnostics near me],Exact
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""Mercedes Sprinter specialist near me""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""mercedes star diagnostics near me""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""mobile engine diagnostics near me""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""mobile mercedes diagnostics""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""Mobile mercedes diagnostics london""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,[Mobile mercedes diagnostics near me],Exact
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,[mobile van diagnostics near me],Exact
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""mobile vehicle diagnostics near me""",Phrase
Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,"""van diagnostics near me""",Phrase
Search | Servicing & Brakes | Kent + SE London,Mercedes Van Servicing,[London Mobile Van Mechanic for Mercedes Sprinter],Exact
Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,"""mercedes sprinter mobile service""",Phrase
Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,"""mercedes sprinter service near me""",Phrase
Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,"""Mobile sprinter service near me""",Phrase
Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,"""sprinter van service near me""",Phrase
Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,[fuel economy remap],Exact
Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,[fuel economy remap uk],Exact
Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,[fuel economy remap van],Exact
Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,"""van economy remap""",Phrase
Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,"""van economy tune""",Phrase
Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,[Van economy tune near me],Exact
