campaign_family,ad_group_theme,seed_keyword,keyword_candidate,source,normalized_keyword,intent_score,local_intent_score,commercial_intent_score,relevance_score,negative_risk_score,recommended_match_type,status_recommendation,notes
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,Auto Mobile | mobile mechanic | Sittingbourne,organic_title,auto mobile mobile mechanic sittingbourne,24,25,24,10,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,Best mercedes diagnostics near me,related_searches,best mercedes diagnostics near me,40,25,48,90,0,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,Best van diagnostics near me,related_searches,best van diagnostics near me,40,25,48,90,0,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Book a Car Diagnostic for your Mercedes,organic_title,book a car diagnostic for your mercedes,16,0,24,35,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,Book a Car Diagnostic in Maidstone,organic_title,book a car diagnostic in maidstone,17,25,12,10,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,Can Halfords do a diagnostic check?,paa,can halfords do a diagnostic check,16,0,24,20,0,phrase,review,PAA / related question; review or use as negative/FAQ only.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,Canterbury Mobile Mechanics & Garages,organic_title,canterbury mobile mechanics garages,32,25,36,10,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,cheap vehicle diagnostics near me,autocomplete,cheap vehicle diagnostics near me,32,25,36,65,18,phrase,review,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,Cheapest van diagnostics near me,related_searches,cheapest van diagnostics near me,40,25,48,90,36,phrase,review,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,cheapest vehicle diagnostics near me,autocomplete,cheapest vehicle diagnostics near me,32,25,36,65,36,phrase,review,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,check engine light diagnostics near me,autocomplete,check engine light diagnostics near me,40,25,48,95,0,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Do mobile mechanics charge a call out fee?,paa,do mobile mechanics charge a call out fee,24,25,24,25,0,phrase,review,PAA / related question; review or use as negative/FAQ only.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,"Expert car diagnostics in Ashford, Kent",organic_title,expert car diagnostics in ashford kent,24,25,24,35,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,Free van diagnostics near me,related_searches,free van diagnostics near me,40,25,48,90,53,negative,exclude_negative,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,free vehicle diagnostics near me,autocomplete,free vehicle diagnostics near me,32,25,36,65,53,negative,exclude_negative,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,how much do mercedes charge for a diagnostic test,autocomplete,how much do mercedes charge for a diagnostic test,16,0,24,35,67,negative,exclude_negative,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,How much does it cost to diagnose a Mercedes?,paa,how much does it cost to diagnose a mercedes,8,0,12,25,67,negative,exclude_negative,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,How much does it cost to run a diagnostic test?,paa,how much does it cost to run a diagnostic test,8,0,12,10,67,negative,exclude_negative,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,How much does Mercedes charge for a diagnostic test?,paa,how much does mercedes charge for a diagnostic test,16,0,24,35,67,negative,exclude_negative,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,How much is a diagnostic at Kwik Fit?,paa,how much is a diagnostic at kwik fit,8,0,12,10,67,negative,exclude_negative,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,How much is a diagnostic on a van?,paa,how much is a diagnostic on a van,16,0,24,35,67,negative,exclude_negative,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,Is Halfords Mercedes approved?,paa,is halfords mercedes approved,8,0,12,25,0,phrase,review,PAA / related question; review or use as negative/FAQ only.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mercanix mobile Mercedes-Benz specialists - 01344 851586,organic_title,mercanix mobile mercedes-benz specialists - 01344 851586,32,25,36,35,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mercedes and Smart Diagnostics,organic_title,mercedes and smart diagnostics,23,0,36,60,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
