Ad group report
All time
Ad group status,Ad group,Campaign,Status,Status reasons,Currency code,Target CPA,Ad group type,Impr.,CTR,Currency code,Cost,Brand Inclusions,Locations of interest,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Enabled,Vito Servicing,Search | Servicing & Brakes | Kent + SE London,Eligible,unknown,GBP, --,Standard,25,0.00%,GBP,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Van Load & Driveability Tune,Search | Tuning | Commercial Vans | Kent + SE London,Eligible,unknown,GBP, --,Standard,5,0.00%,GBP,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Citan Brakes,Search | Servicing & Brakes | Kent + SE London,Eligible,unknown,GBP, --,Standard,0, --,GBP,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Citan Servicing,Search | Servicing & Brakes | Kent + SE London,Eligible,unknown,GBP, --,Standard,2,0.00%,GBP,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Sprinter Brakes,Search | Servicing & Brakes | Kent + SE London,Eligible,unknown,GBP, --,Standard,3,0.00%,GBP,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Fleet Van Tuning,Search | Tuning | Commercial Vans | Kent + SE London,Eligible,unknown,GBP, --,Standard,9,0.00%,GBP,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Sprinter Servicing,Search | Servicing & Brakes | Kent + SE London,Eligible,unknown,GBP, --,Standard,75,5.33%,GBP,14.12,[],[],4,75.00%,3.00,3.53,4.71
Enabled,AdBlue / DPF / Emissions,Search | Diagnostics & VOR | Kent + SE London,Eligible,unknown,GBP, --,Standard,0, --,GBP,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Mercedes Van Servicing & Brakes,Search | Servicing & Brakes | Kent + SE London,Eligible,unknown,GBP, --,Standard,15,0.00%,GBP,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,VOR / Urgent Van Diagnostics,Search | Diagnostics & VOR | Kent + SE London,Eligible,unknown,GBP, --,Standard,0, --,GBP,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Pre-Purchase Van Check,Search | Diagnostics & VOR | Kent + SE London,Eligible,unknown,GBP, --,Standard,28,17.86%,GBP,5.13,[],[],5,60.00%,3.00,1.03,1.71
Enabled,Van Economy Tune,Search | Tuning | Commercial Vans | Kent + SE London,Eligible,unknown,GBP, --,Standard,52,3.85%,GBP,3.35,[],[],2,0.00%,0.00,1.67,0.00
Enabled,Limp Mode / Derate,Search | Diagnostics & VOR | Kent + SE London,Eligible,unknown,GBP, --,Standard,2,100.00%,GBP,20.32,[],[],2,0.00%,0.00,10.16,0.00
Enabled,Standard Diagnosis,Search | Diagnostics & VOR | Kent + SE London,Eligible,unknown,GBP, --,Standard,19,21.05%,GBP,16.69,[],[],4,0.00%,0.00,4.17,0.00
Enabled,Vito Brakes,Search | Servicing & Brakes | Kent + SE London,Eligible,unknown,GBP, --,Standard,5,0.00%,GBP,0.00,[],[],0,0.00%,0.00,0,0.00
Total: Filtered ad groups,,,,,,,,240,7.08%,GBP,59.60,,,17,35.29%,6.00,3.51,9.93
Total: Account,,,,,,,,"1,359",8.76%,GBP,305.71,,,119,5.04%,6.00,2.57,50.95
Total: Search,,,,,,,,"1,359",8.76%,GBP,305.71,,,119,5.04%,6.00,2.57,50.95
