Ad schedule report
All time
Day & time,Campaign,Bid adj.,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
"Wednesdays, 6:00 AM - 10:00 PM",Search | Tuning | Commercial Vans | Kent + SE London, --,1,7,14.29%,GBP,0.64,0.64,0.00%,0.00,0.00
"Saturdays, 6:00 AM - 10:00 PM",Search | Tuning | Commercial Vans | Kent + SE London, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Mondays, 6:00 AM - 10:00 PM",Search | Tuning | Commercial Vans | Kent + SE London, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Saturdays, 6:00 AM - 10:00 PM",Search | Servicing & Brakes | Kent + SE London, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Tuesdays, 6:00 AM - 10:00 PM",Search | Servicing & Brakes | Kent + SE London, --,2,79,2.53%,GBP,2.31,4.61,100.00%,2.00,2.31
"Fridays, 6:00 AM - 10:00 PM",Search | Tuning | Commercial Vans | Kent + SE London, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Tuesdays, 6:00 AM - 10:00 PM",TriPoint | Search | Mercedes Vans | Kent + SE London, --,22,260,8.46%,GBP,2.37,52.12,0.00%,0.00,0.00
"Mondays, 6:00 AM - 10:00 PM",TriPoint | Search | Mercedes Vans | Kent + SE London, --,17,153,11.11%,GBP,2.47,41.99,0.00%,0.00,0.00
"Saturdays, 6:00 AM - 10:00 PM",TriPoint | Search | Mercedes Vans | Kent + SE London, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Mondays, 6:00 AM - 10:00 PM",Search | Diagnostics & VOR | Kent + SE London, --,3,11,27.27%,GBP,1.38,4.15,100.00%,3.00,1.38
"Wednesdays, 6:00 AM - 10:00 PM",Search | Diagnostics & VOR | Kent + SE London, --,0,6,0.00%,GBP,0,0.00,0.00%,0.00,0.00
"Tuesdays, 6:00 AM - 10:00 PM",VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Wednesdays, 6:00 AM - 10:00 PM",VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Thursdays, 6:00 AM - 10:00 PM",VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Sundays, 6:00 AM - 10:00 PM",VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Mondays, 6:00 AM - 10:00 PM",Search | Servicing & Brakes | Kent + SE London, --,0,2,0.00%,GBP,0,0.00,0.00%,0.00,0.00
"Tuesdays, 6:00 AM - 10:00 PM",Search | Tuning | Commercial Vans | Kent + SE London, --,1,37,2.70%,GBP,2.71,2.71,0.00%,0.00,0.00
"Fridays, 6:00 AM - 10:00 PM",Search | Servicing & Brakes | Kent + SE London, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Wednesdays, 6:00 AM - 10:00 PM",Search | Servicing & Brakes | Kent + SE London, --,2,28,7.14%,GBP,4.76,9.51,50.00%,1.00,9.51
"Thursdays, 6:00 AM - 10:00 PM",Search | Servicing & Brakes | Kent + SE London, --,0,18,0.00%,GBP,0,0.00,0.00%,0.00,0.00
"Thursdays, 6:00 AM - 10:00 PM",Search | Tuning | Commercial Vans | Kent + SE London, --,0,23,0.00%,GBP,0,0.00,0.00%,0.00,0.00
"Wednesdays, 6:00 AM - 10:00 PM",TriPoint | Search | Mercedes Vans | Kent + SE London, --,13,174,7.47%,GBP,2.44,31.76,0.00%,0.00,0.00
"Thursdays, 6:00 AM - 10:00 PM",TriPoint | Search | Mercedes Vans | Kent + SE London, --,8,98,8.16%,GBP,2.45,19.59,0.00%,0.00,0.00
"Fridays, 6:00 AM - 10:00 PM",TriPoint | Search | Mercedes Vans | Kent + SE London, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Fridays, 6:00 AM - 10:00 PM",Search | Diagnostics & VOR | Kent + SE London, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Tuesdays, 6:00 AM - 10:00 PM",Search | Diagnostics & VOR | Kent + SE London, --,4,14,28.57%,GBP,0.72,2.88,0.00%,0.00,0.00
"Thursdays, 6:00 AM - 10:00 PM",Search | Diagnostics & VOR | Kent + SE London, --,4,21,19.05%,GBP,8.78,35.11,0.00%,0.00,0.00
"Saturdays, 6:00 AM - 10:00 PM",Search | Diagnostics & VOR | Kent + SE London, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Saturdays, 6:00 AM - 10:00 PM",VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Mondays, 6:00 AM - 10:00 PM",VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Fridays, 6:00 AM - 10:00 PM",VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
Total: Ad schedules,,,77,931,8.27%,GBP,2.66,205.06,7.79%,6.00,34.18
Total: Account,,,119,"1,365",8.72%,GBP,2.57,305.71,5.04%,6.00,50.95
Total: Search,,,119,"1,365",8.72%,GBP,2.57,305.71,5.04%,6.00,50.95
