Ad report
All time
Ad status,Final URL,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Path 1,Path 2,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Campaign,Ad group,Status,Status reasons,Ad strength,Ad strength improvements,Ad type,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,https://tripointdiagnostics.co.uk/services/vito-servicing,Mobile Vito Servicing, --,Mercedes Vito Service, --,Minor Service From £175, --,Major Service From £295, --,W639 & W447 Covered, --,Genuine Mercedes Parts, --,Xentry Service Reset, --,Written Condition Report, --,Kent & SE London, --,Call Or WhatsApp Now, --,TriPoint Diagnostics, --,"Compliance-first, no guesswork", --, --, --, --, --, --, --,"Mobile Mercedes Vito servicing with genuine parts, Xentry reset and checks.", --,"Minor and major service packages at your home, yard or depot.", --,W639 and W447 covered with written report and fixed pricing confirmed first., --,Call or WhatsApp with your reg to confirm the right service package., --,vito,servicing,, --, --,,Search | Servicing & Brakes | Kent + SE London,Vito Servicing,Eligible,,Good,Try including more keywords in your headlines,Responsive search ad,0,25,0.00%,GBP,0,0.00,0.00%,0.00,0.00
Enabled,https://tripointdiagnostics.co.uk/services/citan-servicing,Mobile Citan Servicing, --,Mercedes Citan Service, --,Minor Service From £175, --,Major Service From £295, --,W415 & W420 Covered, --,Genuine Mercedes Parts, --,Service Reset Included, --,Written Condition Report, --,Kent & SE London, --,Call Or WhatsApp Now, --, --, --, --, --, --, --, --, --, --, --,"Mobile Mercedes Citan servicing with genuine parts, service reset and checks.", --,"Minor and major service packages at your home, yard or depot.", --,W415 and W420 covered with written report and fixed pricing confirmed first., --,Call or WhatsApp with your reg to confirm the right service package., --,citan,servicing,, --, --,,Search | Servicing & Brakes | Kent + SE London,Citan Servicing,Eligible,,Average,Try including more keywords in your headlines;Add 6 more sitelinks in your ad,Responsive search ad,0,2,0.00%,GBP,0,0.00,0.00%,0.00,0.00
Enabled,https://www.tripointdiagnostics.co.uk/services/mercedes-xentry-diagnostics-coding,Mercedes Sprinter Diagnostics, --,Mercedes Vito Diagnostics, --,Mobile Fault Finding, --,Xentry-Level Scan Depth, --,Dealer-Level Diagnostics, --,Coding & Adaptations, --,Warning Lights Investigated, --,Live Data & Guided Tests, --,Stop Replacing Parts, --,Clear Diagnostic Plan, --,Mobile Callout To You, --,Kent & SE London Coverage, --,Courier & Fleet Friendly, --,Book A Diagnostic Visit, --,Call 06:00-22:00, --,Mercedes van diagnostics & coding with dealer-level depth. Sprinter/Vito focused., --,Proper testing: scan + live data + guided checks. Get a clear fix plan., --,Mobile across Kent & SE London. Ideal for working vans and fleets., --,"Book now for a diagnostic callout. Fast next steps, no guesswork.", --,sprinter-vito,diagnostics,, --, --,,TriPoint | Search | Mercedes Vans | Kent + SE London,Mercedes Vans | Diagnostics (Core),Not eligible,campaign removed,Average,Try including more keywords in your headlines;Try including more keywords in your descriptions,Responsive search ad,18,219,8.22%,GBP,2.40,43.19,0.00%,0.00,0.00
Enabled,https://tripointdiagnostics.co.uk/services/vito-brakes,Mobile Vito Brakes, --,Mercedes Vito Brakes, --,Front Pads From £169, --,Pads & Discs From £319, --,W639 & W447 Covered, --,Fixed Price Brake Packages, --,Brake Wear Checked, --,Kent & SE London, --,Call Or WhatsApp Now, --,At Home Or Depot, --, --, --, --, --, --, --, --, --, --, --,Mobile Mercedes Vito brake service with fixed-price front pad and disc packages., --,Disc thickness measured against spec with pad wear and brake condition checked., --,"W639 and W447 covered at your home, yard or depot across Kent and SE London.", --,Call or WhatsApp with your reg to confirm the correct brake package., --,vito,brakes,, --, --,,Search | Servicing & Brakes | Kent + SE London,Vito Brakes,Eligible,,Good,Add more headlines to increase your chances for better performance;Try including more keywords in your headlines;Try adding a few more unique headlines or unpinning some assets,Responsive search ad,0,5,0.00%,GBP,0,0.00,0.00%,0.00,0.00
Enabled,https://www.tripointdiagnostics.co.uk/services/mercedes-xentry-diagnostics-coding,Xentry Coding & Adaptations, --,SCN Coding Support, --,STAR-Level Diagnostics, --,Module Coding & Setup, --,Variant Coding Support, --,Fix Mis-Coding Issues, --,Trade & Garage Support, --,Mobile Callout Available, --,Coding Plan First, --,Sprinter / Vito Specialists, --,Kent & SE London Coverage, --,Book Online Fast, --,Call 06:00-22:00, --,Independent MB Specialist, --,Dealer-Level Workflow, --,"Coding done properly: diagnose first, then code/adapt with a clear plan.", --,Ideal for trade referrals and module replacement setup support., --,"Mobile support across Kent & SE London. Fast, technical, no nonsense.", --,Book now. Clear next steps and documentation of what was coded., --,xentry,coding,, --, --,,TriPoint | Search | Mercedes Vans | Kent + SE London,Xentry / SCN / Module Coding,Not eligible,campaign removed,Excellent,,Responsive search ad,11,138,7.97%,GBP,2.29,25.15,0.00%,0.00,0.00
Enabled,https://tripointdiagnostics.co.uk/services/sprinter-servicing,Mobile Sprinter Servicing, --,Mercedes Sprinter Service, --,Minor Service From £175, --,Major Service From £295, --,W906 & W907 Covered, --,Genuine Mercedes Parts, --,Xentry Service Reset, --,Written Condition Report, --,Kent & SE London, --,Call Or WhatsApp Now, --,TriPoint Diagnostics, --,"Compliance-first, no guesswork", --, --, --, --, --, --, --,"Mobile Mercedes Sprinter servicing with genuine parts, Xentry reset and checks.", --,"Minor and major service packages at your home, yard or depot.", --,W906 and W907 covered with written report and fixed pricing confirmed first., --,Call or WhatsApp with your reg to confirm the right service package., --,sprinter,servicing,, --, --,,Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,Eligible,,Good,Try including more keywords in your headlines;Try including more keywords in your descriptions,Responsive search ad,4,75,5.33%,GBP,3.53,14.12,75.00%,3.00,4.71
Enabled,https://tripointdiagnostics.co.uk/services/mercedes-van-servicing,Mobile Mercedes Van Service, --,Mercedes Van Servicing, --,Mercedes Van Brakes, --,Minor Service From £175, --,Major Service From £295, --,Brake Packages Available, --,Genuine Mercedes Parts, --,Xentry Service Reset, --,Kent & SE London, --,Call Or WhatsApp Now, --,TriPoint Diagnostics, --,"Compliance-first, no guesswork", --, --, --, --, --, --, --,"Mobile Mercedes van servicing and brake packages at your home, yard or depot.", --,"Minor and major servicing, brake checks and fixed-price packages available.", --,"Genuine parts, Xentry service reset and written condition report included.", --,Call or WhatsApp with your reg for model-specific pricing and booking., --,servicing,van-service,, --, --,,Search | Servicing & Brakes | Kent + SE London,Mercedes Van Servicing & Brakes,Eligible,,Average,Try including more keywords in your headlines;Try including more keywords in your descriptions,Responsive search ad,0,15,0.00%,GBP,0,0.00,0.00%,0.00,0.00
Enabled,https://tripointdiagnostics.co.uk/services/sprinter-brakes,Mobile Sprinter Brakes, --,Mercedes Sprinter Brakes, --,Front Pads From £149, --,Pads & Discs From £329, --,W906 & W907 Covered, --,Fixed Price Brake Packages, --,Brake Wear Checked, --,Kent & SE London, --,Call Or WhatsApp Now, --,At Home Or Depot, --,Sprinter Brakes, --,TriPoint Diagnostics, --,"Compliance-first, no guesswork", --, --, --, --, --,Mobile Mercedes Sprinter brake service with fixed-price front pad and disc packages., --,Disc thickness measured against spec with pad wear and brake condition checked., --,"W906 and W907 covered at your home, yard or depot across Kent and SE London.", --,Call or WhatsApp with your reg to confirm the correct brake package., --,sprinter,brakes,, --, --,,Search | Servicing & Brakes | Kent + SE London,Sprinter Brakes,Eligible,,Good,Try including more keywords in your headlines,Responsive search ad,0,3,0.00%,GBP,0,0.00,0.00%,0.00,0.00
Enabled,https://www.tripointdiagnostics.co.uk/booking,TriPoint Diagnostics Ltd, --,Mercedes Van Diagnostics, --,Mobile Xentry Diagnostics, --,Sprinter & Vito Specialists, --,Dealer-Level Fault Finding, --,Mercedes Coding Available, --,Kent & SE London Callouts, --,Book Online In Minutes, --,Call 06:00-22:00 Daily, --,VOR Triage Options, --,Clear Diagnostic Plan, --,Independent MB Specialist, --,Fix The Root Cause, --,Trade Support Available, --,Fast Mobile Diagnostics, --,Dealer-level mobile diagnostics & coding for Sprinter/Vito. Kent & SE London., --,Xentry-based workflows. Clear fault plan and next steps. Book online or call., --,"Priority VOR triage when possible. Open 06:00-22:00, 7 days.", --,"Mercedes-focused diagnostics. Proper testing - no guesswork, no parts darts.", --,booking,mercedes,, --, --,,TriPoint | Search | Mercedes Vans | Kent + SE London,Brand | TriPoint,Not eligible,campaign removed,Average,Try including more keywords in your headlines;Try including more keywords in your descriptions;Add 6 more sitelinks in your ad,Responsive search ad,0,25,0.00%,GBP,0,0.00,0.00%,0.00,0.00
Enabled,https://tripointdiagnostics.co.uk/services/citan-brakes,Mobile Citan Brakes, --,Mercedes Citan Brakes, --,Front Pads From £169, --,Pads & Discs From £319, --,W415 & W420 Covered, --,Fixed Price Brake Packages, --,Brake Wear Checked, --,Kent & SE London, --,Call Or WhatsApp Now, --,At Home Or Depot, --, --, --, --, --, --, --, --, --, --, --,Mobile Mercedes Citan brake service with fixed-price front pad and disc packages., --,Disc thickness measured against spec with pad wear and brake condition checked., --,"W415 and W420 covered at your home, yard or depot across Kent and SE London.", --,Call or WhatsApp with your reg to confirm the correct brake package., --,citan,brakes,, --, --,,Search | Servicing & Brakes | Kent + SE London,Citan Brakes,Eligible,,Poor,Try including more keywords in your headlines;Try including more keywords in your descriptions;Add 6 more sitelinks in your ad,Responsive search ad,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
