Asset association report
All time
Asset status,Asset,Asset type,Level,Status,Status reason,Added by,Last updated,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost
Enabled,"Types:Sprinter W906,Sprinter W907,Sprinter W910,Vito W447,Courier Vans,Fleet Operators,Trade Referrals",Structured snippet,Campaign,Eligible,,Advertiser,"Feb 22, 2026, 12:28 PM",0,1,0.00%,GBP,0,0.00
Enabled,VOR triage: fast diagnosis + decision plan to restore uptime without guesswork.,Description,Ad,Not eligible, --,Advertiser, --,0,1,0.00%,GBP,0,0.00
Enabled,Live Data & Actuation Tests,Headline,Ad,Not eligible, --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/11473493660702510225,Business logo,Campaign,Eligible,,Advertiser,"Feb 22, 2026, 12:49 PM",39,318,12.26%,GBP,2.47,96.41
Enabled,AdBlue/SCR/DPF/NOx faults diagnosed properly. Compliance-first approach.,Description,Ad,Not eligible, --; --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Courier Van Downtime Help,Headline,Ad,Not eligible, --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Dealer-level scan depth with a clear fault pathway and next steps.,Description,Ad,Not eligible, --,Advertiser, --,1,6,16.67%,GBP,2.49,2.49
Enabled,Reduced Power Diagnostics,Headline,Ad,Not eligible, --,Advertiser, --,0,2,0.00%,GBP,0,0.00
Enabled,Module Coding & Setup,Headline,Ad,Not eligible, --,Advertiser, --,1,38,2.63%,GBP,1.84,1.84
Enabled,"Mobile support across Kent & SE London. Fast, technical, no nonsense.",Description,Ad,Not eligible, --,Advertiser, --,7,74,9.46%,GBP,2.33,16.32
Enabled,Mobile across Kent & SE London with triage options if needed.,Description,Ad,Not eligible, --,Advertiser, --,20,218,9.17%,GBP,2.41,48.25
Enabled,Xentry workflow + guided checks to pinpoint the real cause before parts.,Description,Ad,Not eligible, --; --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Stop Parts Darts,Headline,Ad,Not eligible, --,Advertiser, --,0,2,0.00%,GBP,0,0.00
Enabled,STAR-Level Diagnostics,Headline,Ad,Not eligible, --,Advertiser, --,2,34,5.88%,GBP,2.22,4.43
Enabled,https://tpc.googlesyndication.com/simgad/683925411000873329,Image,Ad group,Not eligible,Disapproved,Advertiser,"Mar 24, 2026, 10:50 AM",0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/737311660719255953,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:56 AM",0,0, --,GBP,0,0.00
Enabled,"Areas We Cover
Kent & SE London
1 hour radius
https://tripointdiagnostics.co.uk/areas-covered",Sitelink,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 9:24 AM",2,9,22.22%,GBP,3.85,7.69
Enabled,Driveability Tune For Vans,Headline,Ad,Eligible,,Advertiser, --,0,4,0.00%,GBP,0,0.00
Enabled,"Standard Diagnosis
Full system scan onsite
Live data and fault finding
https://tripointdiagnostics.co.uk/services/diagnostic-callout",Sitelink,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 9:23 AM",0,13,0.00%,GBP,0,0.00
Enabled,"Standard Diagnosis
Full system scan onsite
Live data and fault finding
https://tripointdiagnostics.co.uk/services/diagnostic-callout",Sitelink,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 9:25 AM",0,0, --,GBP,0,0.00
Enabled,Dealer-Level Tools,Callout,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:24 AM",0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/6814333058206690212,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:56 AM",0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/2202201638703165778,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:59 AM",0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/4503586014870802019,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:16 AM",0,3,0.00%,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/9078086221331699193,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:56 AM",0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/4624953240387431570,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:56 AM",0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/4624953240387431570,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:00 AM",0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/4503586014870802019,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:24 AM",0,1,0.00%,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/2909670474251735769,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:59 AM",0,0, --,GBP,0,0.00
Enabled,Smoother Cruising Tune,Headline,Ad,Eligible,,Advertiser, --,0,8,0.00%,GBP,0,0.00
Enabled,"Compliance-first, no guesswork",Headline,Ad,Eligible,,Advertiser, --,0,2,0.00%,GBP,0,0.00
Enabled,"Compliance-first, no guesswork",Headline,Ad,Eligible,,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Ideal for mixed fleets needing consistent van tuning across multiple vehicles.,Description,Ad,Eligible,,Advertiser, --,0,6,0.00%,GBP,0,0.00
Enabled,Depot Tuning Days,Headline,Ad,Eligible,,Advertiser, --,0,5,0.00%,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/975876015315272198,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:59 AM",0,6,0.00%,GBP,0,0.00
Enabled,"Load Tune
Better pull under load
Smoother driveability
https://tripointdiagnostics.co.uk/services/van-load-driveability-tune",Sitelink,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:16 AM",1,17,5.88%,GBP,2.71,2.71
Enabled,"Load Tune
Better pull under load
Smoother driveability
https://tripointdiagnostics.co.uk/services/van-load-driveability-tune",Sitelink,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:18 AM",0,2,0.00%,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/10671562349812091088,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:59 AM",0,0, --,GBP,0,0.00
Enabled,Vito Derate Diagnosis,Headline,Ad,Eligible,,Advertiser, --,2,2,100.00%,GBP,10.16,20.32
Enabled,Vito Derate Diagnosis,Headline,Ad,Not eligible, --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/6433602656527807523,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:01 AM",0,0, --,GBP,0,0.00
Enabled,Live Data Testing,Callout,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:25 AM",1,6,16.67%,GBP,0.43,0.43
Enabled,"Fleet van tuning for 3+ vehicles with depot visits, reports and diagnostic pre-checks.",Description,Ad,Eligible,,Advertiser, --,0,2,0.00%,GBP,0,0.00
Enabled,"Pricing
Fixed pricing available
Check rates before booking
https://tripointdiagnostics.co.uk/pricing",Sitelink,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 8:52 AM",0,0, --,GBP,0,0.00
Enabled,Kent & SE London Coverage,Headline,Ad,Not eligible, --; --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,"Limp mode, warning lights, reduced power. We test properly and advise next steps.",Description,Ad,Not eligible, --; --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Warning Lights? Call Today,Headline,Ad,Not eligible, --; --,Advertiser, --,0,0, --,GBP,0,0.00
