Location report
All time
Location,Campaign,Bid adj.,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
"ME8, England, United Kingdom",VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Tonbridge, England, United Kingdom",VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Gillingham, England, United Kingdom",VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Hildenborough, England, United Kingdom",VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Hever, England, United Kingdom",VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"ME17, England, United Kingdom",VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Meopham, England, United Kingdom",VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Pembury, England, United Kingdom",VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"West Wickham, England, United Kingdom",VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"SE7, England, United Kingdom",VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"TN16, England, United Kingdom",VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Maidstone, England, United Kingdom",VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Petts Wood, England, United Kingdom",VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"London Borough of Lewisham, England, United Kingdom",VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"DA11, England, United Kingdom",VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
"Gravesend, England, United Kingdom",VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
