Negative keyword report
All time
Negative keyword,Keyword or list,Campaign,Ad group,Level,Match type
"""cheap fix""",Keyword,TriPoint | Search | Mercedes Vans | Kent + SE London,Sprinter Limp Mode | Reduced Power,Ad group,Phrase match
"""crack""",Keyword,TriPoint | Search | Mercedes Vans | Kent + SE London,Xentry / SCN / Module Coding,Ad group,Phrase match
"""keygen""",Keyword,TriPoint | Search | Mercedes Vans | Kent + SE London,Xentry / SCN / Module Coding,Ad group,Phrase match
car,Keyword,Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,Ad group,Broad match
motorcycle,Keyword,Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,Ad group,Broad match
bike,Keyword,Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,Ad group,Broad match
golf,Keyword,Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,Ad group,Broad match
fiesta,Keyword,Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,Ad group,Broad match
focus,Keyword,Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,Ad group,Broad match
tractor,Keyword,Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,Ad group,Broad match
"""vw golf""",Keyword,Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,Ad group,Phrase match
"""stage 2""",Keyword,Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,Ad group,Phrase match
"""launch control""",Keyword,Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,Ad group,Phrase match
"""radio tuning""",Keyword,Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,Ad group,Phrase match
"""crackle map""",Keyword,Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,Ad group,Phrase match
car,Keyword,Search | Tuning | Commercial Vans | Kent + SE London,Van Load & Driveability Tune,Ad group,Broad match
bike,Keyword,Search | Tuning | Commercial Vans | Kent + SE London,Van Load & Driveability Tune,Ad group,Broad match
bmw,Keyword,Search | Tuning | Commercial Vans | Kent + SE London,Van Load & Driveability Tune,Ad group,Broad match
audi,Keyword,Search | Tuning | Commercial Vans | Kent + SE London,Van Load & Driveability Tune,Ad group,Broad match
fiesta,Keyword,Search | Tuning | Commercial Vans | Kent + SE London,Van Load & Driveability Tune,Ad group,Broad match
tractor,Keyword,Search | Tuning | Commercial Vans | Kent + SE London,Van Load & Driveability Tune,Ad group,Broad match
"""vw golf""",Keyword,Search | Tuning | Commercial Vans | Kent + SE London,Van Load & Driveability Tune,Ad group,Phrase match
"""launch control""",Keyword,Search | Tuning | Commercial Vans | Kent + SE London,Van Load & Driveability Tune,Ad group,Phrase match
"""map file""",Keyword,Search | Tuning | Commercial Vans | Kent + SE London,Van Load & Driveability Tune,Ad group,Phrase match
"""radio tuning""",Keyword,Search | Tuning | Commercial Vans | Kent + SE London,Van Load & Driveability Tune,Ad group,Phrase match
"""pops and bangs""",Keyword,Search | Tuning | Commercial Vans | Kent + SE London,Van Load & Driveability Tune,Ad group,Phrase match
